X,Y,OBJECTID,ROWID_,DAY_OF_WEEK,HOLIDAY,WEEK_OF_YEAR,MONTH_OF_YEAR,ISSUE_TIME,VIOLATION_CODE,VIOLATION_DESCRIPTION,LOCATION,RP_PLATE_STATE,BODY_STYLE,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKET_ISSUE_DATE
-77.021679495599997,38.875905644600003,1842382,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,600 WATER ST SW,DE,,276680,10366,398119,134230,2017-09-14T07:33:00.000Z
-77.02491406,38.898128675899997,1842406,,,,,,,P012,DISOBEYING OFFICIAL SIGN,916 G ST NW,DC,,243267,8835,397839,136697,2017-09-17T20:30:00.000Z
-77.040641496800006,38.9040787884,1842237,,,,,,,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,1100 CONNECTICUT AV NW,MD,,243303,6432,396475,137358,2017-09-01T16:42:00.000Z
-77.102894201500007,38.925885774199998,1842238,,,,,,,P001,PARK ABREAST OF ANOTHER VEHICLE,5138 MAC ARTHUR BLVD NW,DC,,285114,3650,391078,139783,2017-09-18T18:49:00.000Z
-77.017566678899996,38.975042868099997,1843859,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-05T15:32:00.000Z
-77.017566678899996,38.975042868099997,1843860,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-05T15:44:00.000Z
-77.017566678899996,38.975042868099997,1843861,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-05T15:50:00.000Z
-77.028089185,38.881435432899998,1843491,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,VA,,302697,8260,397563,134844,2017-09-04T12:46:00.000Z
-77.028089185,38.881435432899998,1843492,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE SW,MD,,302697,8260,397563,134844,2017-09-04T12:46:00.000Z
-77.028089185,38.881435432899998,1843493,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,VA,,302697,8260,397563,134844,2017-09-04T12:47:00.000Z
-77.028089185,38.881435432899998,1843629,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,VA,,302697,8260,397563,134844,2017-09-04T12:50:00.000Z
-77.028089185,38.881435432899998,1843630,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,MD,,302697,8260,397563,134844,2017-09-04T12:55:00.000Z
-77.028089185,38.881435432899998,1843631,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,VA,,302697,8260,397563,134844,2017-09-04T12:55:00.000Z
-77.028089185,38.881435432899998,1843632,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,NY,,302697,8260,397563,134844,2017-09-04T12:55:00.000Z
-77.028089185,38.881435432899998,1843633,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,DC,,302697,8260,397563,134844,2017-09-04T12:57:00.000Z
-77.028089185,38.881435432899998,1843634,,,,,,,P269,NO STANDING ANYTIME,1100 MAINE AV SW,VA,,302697,8260,397563,134844,2017-09-04T13:00:00.000Z
-77.030717565499998,38.882912147,1843635,,,,,,,P269,NO STANDING ANYTIME,1200 MAINE AV SW,VA,,802016,1617,397335,135008,2017-09-04T13:05:00.000Z
